url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-rembau
https://www.maukerja.my/job/26266863-kru-kasual-hari-raya-haji-mcdonalds-rembau-dt,26266863,Kru Kasual - Hari Raya Haji ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR15 Sejam,N/A,"Rembau, Negeri Sembilan",Up to MYR15 Sejam,5 days ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/22956072-technical-assistant-mcdonalds-rembau-dt,22956072,Technical Assistant ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Rembau, Negeri Sembilan","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-rembau
https://www.maukerja.my/job/19895021-general-worker-pekerja-am-mcdonalds-rembau-dt,19895021,General Worker (Pekerja AM) ( McDonald’s Rembau DT ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Rembau, Negeri Sembilan",Undisclosed,2 years ago,Any Skill,part-time-rembau
